
! https://hackmd.io/2IuIeln8RtWv2pNWCf2W5A 


! https://hackmd.io/2IuIeln8RtWv2pNWCf2W5A 

! Crepuscule tente de représenter les conflits d'intérêts
! mis en évidence par l'écrit "Crépuscule" de Juan Branco.
! Enlever le “!” avant le & pour les afficher dans le graphe
! @ Structures
! @ Evénements 
! _ Relations
! _ Paramètres de relations réifiées
! @ Personnes


! https://calc.padagraph.io/crepuscule-medias 

"!,",,,,,,,,,,,,
"_  Personne/Membre_de",color[red],width[2],line[dashed],weight[1]
"_ Media/actionnaires",color[blue],width[2],line[dashed],weight[1]
"_ Entreprise/actionnaires",color[black],width[1],line[dashed],weight[1]
"_ Entreprise/salarié⋅es",color[black],width[2],line[dashed],weight[1]
"_ Entreprise/boss",color[black],width[3],line[plain],weight[1]


! https://calc.padagraph.io/crepuscule-personnes 

"!,",,,,Ecoles,"Fonction Publique",Assos/Partis,Parents,,,,,,"Capital / revenus",,,,
"@Personne: #id",+Noms,+Prénoms,+Adresses,%+Cursus,+postes,%+Membre_de,%+Filiation,%+Union,%+avocats,image,+Pages,+Autres_sources,rang_fortune,fortune,salaire,source_capital,wikipedia
Arnault_B,Arnault,Bernard,,,,,Arnault_D,,,https://secure-journal.hautehorlogerie.org/wp-content/uploads/2016/04/fhhmag_slideshow_003858-001.jpg,,,,,,,
Arnault_D,Arnault,Delphine,,,,,Arnault_B,Niel,,https://gw.geneanet.org/public/img/media/deposits/cc/f0/4045224/medium.jpg?t=1449654704,,,,,,,
Arnault_F,Arnault,Frédéric,,,,,"Arnault_B, Arnault_D",,,,,https://web.archive.org/web/20181004194022/https://www.nytimes.com/2018/10/01/fashion/frederic-arnault-tag-heuer-lvmh.html,,,,,
Attal_G,Attal,Gabriel,,,"Député (2017-2018), Secrétaire d'État Éducation (2018-)",LREM,Attal_Y✝,Séjourné,,http://s1.lprs1.fr/images/2017/06/19/7067613_4a09f596-54fb-11e7-9740-47c1f9c85791-1_1000x625.jpg,,,,,,,
Attal_Y✝,Attal✝,Yves,,,,,Attal_G,,,https://www.raal.be/wp-content/uploads/2017/06/anonyme.png,,,,,,,
Attali,Attali,Jacques,,,,,,,,https://www.babelio.com/users/AVT_Jacques-Attali_7181.jpg,,,,,,,
Bacqué,Bacqué,Raphaëlle,,,,,,,,https://images1.livreshebdo.fr/sites/default/files/assets/images/r.bacque10annieassouline.jpg,,,,,,,
Barbizet,Barbizet,Patricia,,,,,,,,https://images.lesechos.fr/archives/2017/LesEchos/22583/ECH22583116_1.jpg,,,,,,,
Benalla,Benalla,Alexandre,,,,,,,,https://www.intelli.news/wp-content/uploads/2019/01/le-mensonge-de-la-femme-dAlexandre-Benalla.jpg,,,,,,,
Bigorgne,Bigorgne,Laurent,,,,,Descoings✝,,,https://www.rencontrescapitales.com/wp-content/uploads/2017/02/bigorgne-laurent-e1488368692753.jpg,,,,,,,
Blanquer,Blanquer,Jean-Michel,,,"Ministre education (2017-)",LREM,,,,https://img.aws.la-croix.com/2017/09/04/1200874114/ministre-leducation-nationale-Jean-Michel-Blanquer_0_729_486.jpg,,,,,,,
Bolloré_V,Bolloré,Vincent,,,,,,,,"https://resize-parismatch.ladmedia.fr/r/625,417,center-middle,ffffff/img/var/news/storage/images/paris-match/culture/medias/complement-d-enquete-bollore-demande-50-millions-d-euros-a-france-televisions-1486808/24349658-1-fre-FR/Complement-d-enquete-Bollore-demande-50-millions-d-euros-a-France-Televisions.jpg",,,,,,,
Bolloré_Y,Bolloré,Yannick,,,,,Bolloré_V,Bouygues_C,,,,https://fr.wikipedia.org/wiki/Yannick_Bolloré,,,,,
Bouygues_C,Bouygues,Chloé,,,,,Bouygues_M,,,,,,,,,,
Bouygues_M,Bouygues,Martin,,,,,,,,,,,,,,,
Brouaux,"Brouaux Mauduit",Marie-Noëlle,,,,,Mauduit,,,https://www.lsa-conso.fr/mediatheque/3/0/2/000015203_103.jpg,,,,,,,
Chabre,Chabre,Edith,,,,,Philippe,,,http://i.f1g.fr/media/ext/1200x1200/madame.lefigaro.fr/sites/default/files/img/2017/05/edith-chabre-femme-edouard-philippe-premier-ministre.jpg,,,,,,,
Chaker,Chaker,Ludovic,,,,LREM,,,,https://i1.wp.com/www.taiwanmag.net/wp-content/uploads/2012/05/ludovic-chaker.jpg,,,,,,,
Dassault_L,Dassault,Laurent,,,,,Dassault_S,,,,,,,,,,
Dassault_S,Dassault,Serge,,,,,Dassault_L,,,,,,,,,,
Dassault_O,Dassault,Olivier,,,,,"Dassault_S, Dassault_L",,,,,,,,,,
De_Warren,"De Warren",Judith,,,,,Jouyet,,,https://media.licdn.com/dms/image/C5103AQF9xV5MElOYyA/profile-displayphoto-shrink_200_200/0?e=1547683200&v=beta&t=FFMIIAlTQvUtD1GA4A6O9HXFDLEMRwqen5mzM1hyVPM,,,,,,,
Delahousse,Delahousse,Laurent,,,,,,,,http://static1.ozap.com/people/0/72/0/@/4455188-laurent-delahousse-entity_default-1.jpg,,,,,,,
Descoings✝,Descoings✝,Richard,,,,,"Marik-Descoings, Pepy",,,http://www.sciencespo.fr/stories/assets/media/image/Portrait_Richard_Descoings.jpg,,,,,,,
Drahi,Drahi,Patrick,,,,,,,,https://medias.liberation.fr/photo/887191-000_bm6cw.jpg?modified_at=1466597020&width=960,,,,,,,
Dreyfus,Dreyfus,Louis,,,,,,,,,42,,,,,,
Emelien,Emelien,Ismaël,,,,LREM,,Ribault,,https://www.challenges.fr/assets/img/2017/04/30/images_list-r4x3w1000-5905e8aa573f9-ismae-l-emelien.jpg,,,,,,,
Endeweld,Endeweld,Marc,,,,,,,,,,,,,,,
Ernotte,Ernotte,Delphine,,,,,,,,https://pbs.twimg.com/profile_images/636518691472023552/eofDUBhm_400x400.jpg,,,,,,,
Fabius,Fabius,Laurent,,,,PS,,,,,,,,,,,
Finchelstein,Finchelstein,Gilles,,,,Fondation_Jean-Jaurès,,,,https://static.ladepeche.fr/content/media/image/zoom/2016/03/09/201603091231-full.jpg,,,,,,,
Gassier-Weill,Gassier-Weill,Catherine,,,,,Weill,,,http://www.yb-consulting.fr/wp/wp-content/uploads/2016/12/portrait3.png,,,,,,,
Girard,Girard,Christophe,,,,,,,,https://www.telerama.fr/sites/tr_master/files/styles/simplecrop1000/public/maxpeoplefrfour303273_0_0.jpg,,,,,,,
Griveaux,Griveaux,Benjamin,,,,LREM,,,,"https://resize-parismatch.ladmedia.fr/r/625,417,center-middle,ffffff/img/var/news/storage/images/paris-match/actu/politique/grand-debat-jouanno-doit-tirer-les-enseignements-de-son-retrait-selon-griveaux-1598883/25900932-1-fre-FR/Grand-debat-Jouanno-doit-tirer-les-enseignements-de-son-retrait-selon-Griveaux.jpg",,,,,,,
Hermand,Hermand,Henry,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/8/89/Henry_Hermand.JPG/260px-Henry_Hermand.JPG,,,,,,,
Hidalgo,Hidalgo,Anne,,,,PS,,,,https://pbs.twimg.com/profile_images/1026063030428344320/FxlsK6Kd_400x400.jpg,,,,,,,
Hollande,Hollande,François,,,,PS,,,,https://upload.wikimedia.org/wikipedia/commons/0/05/Francois_Hollande_2015.jpeg,,,,,,,
Joffrin,Joffrin,Laurent,,,,,,,,http://static1.ozap.com/people/2/41/95/82/@/756876-laurent-joffrin-entity_default-1.jpg,,,,,,,
Jouyet,Jouyet,Jean-Pierre,,,,,Taittinger-Jouyet,,,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b4/M_JOUYET_08_AMF_2009.JPG/220px-M_JOUYET_08_AMF_2009.JPG,,,,,,,
Khiroun,Khiroun,Ramzy,,,,,,,,https://img.20mn.fr/O2G6C5TgTZeSlzMDMDJSSQ/310x190_conseiller-communication-ramzi-khiroun-3-juin-2013-paris.jpg,,,,,,,
Kretinsky,Kretinsky,Daniel,,,,,,,,https://www.lepoint.fr/images/2018/10/20/17395640lpw-17395639-article-jpg_5660995.jpg,,,,,,,
